,Version,Notes,LossFunction,Optimizer,LearningRate,SchedulerLR,NumberOfEpochs,ModelStructure,Dropout,HiddenDim,HiddenDimSize,DatasetName,BatchSize,TrainTest,MaxSamples,Dataparallel,NumberOfWorkers,Device,AlphaForADMM,RhoForADMM,LayerPruneTargets,WeightPrunePercent,PruningSelection,BERTTheseusStartingLearningRate,BERTTheseusLearningRateModifier,AlphaForTOFD,BetaForTOFD,tForTOFD,DAISRegularizerScale,LassoForDAIS,LayerIteration,SaveLocation,FromSaveLocation,NumClasses,NumFeatures,ProcessID,StartTime,cpuModel,TimeForPrune,Memory,CudaMemory,LengthOfTrainingData,LengthOfValidationData,total_loss,f1_score_weight,f1_score_macro,additive_loss,mean_loss,val_total_loss,val_f1_score_weight,val_f1_score_macro,val_additive_loss,val_mean_loss,epoch,Epoch waypoint 0 mean_loss,-Waypoint_0-,Epoch waypoint 1 mean_loss,-Waypoint_1-,Epoch waypoint 2 mean_loss,-Waypoint_2-,Epoch waypoint 3 mean_loss,-Waypoint_3-,Epoch waypoint 4 mean_loss,-Waypoint_4-,TimeForRun,macs,parameters,NumberOfZeros,Zeroed_filter_inputs,Zeroed_filter_outputs,ModelWeightStructure,ModelWeightStructurePruneZero,GarbageCollectionSizeTotal,AssociatedOriginalRow
0,v0.95 - 95,0,CrossEntropy,Adam,0.0009,1,150,MainLinear,0.000224328,27,875,ACI,3000,0.2,0,-2,3,cuda,0.001,0.001,"[866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 20]","[0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 1.0]",,0.5,0.5,0.05,0.03,3.0,2.0,False,"[10, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 20]",ModelStateDict1726884190.4985795.pt,,20,1516,1328724,2024-09-21 01:52:05.710912,x86_64,0.0332119464874267,0.4874239999990095,0.0,18113.0,4528.0,9.403905749320984,0.3870991467403539,0.1537249738880155,0.0,0.0005191799121802,2.762519955635071,0.3866042323478961,0.153703087128434,0.0,0.0006100971633469,149.0,0.000783070508091,ModelStateDict-Waypoint_0-1726883654.8188877.pt,0.0005759526831227,ModelStateDict-Waypoint_1-1726883787.328064.pt,0.0005247354876005,ModelStateDict-Waypoint_2-1726883922.1965783.pt,0.0005205845652493,ModelStateDict-Waypoint_3-1726884053.0011582.pt,0.0005189820812281,ModelStateDict-Waypoint_4-1726884184.911272.pt,664.2936573028564,22015875.0,22040395.0,0.0,0.0,0.0,"1516/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/20","1516/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/20",225280.0,
1,v0.95 - 95,0,CrossEntropy,Adam,0.000904255,1,100,MainLinear,0.000224328,27,875,ACI,3000,0.2,100,-2,3,cuda,0.001,0.001,"[866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 20]","[0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 1.0]",,0.5,0.5,0.05,0.03,3.0,2.0,False,"[10, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 20]",ModelStateDict1726884528.1467512.pt,,20,1516,1329271,2024-09-21 02:08:15.771332,x86_64,0.0316815376281738,29.933568000000378,0.0,80.0,20.0,1.6226723194122314,0.1384615384615384,0.0659340659340659,0.0,0.0202834039926528,1.992074608802796,0.0391304347826086,0.0434782608695652,0.0,0.0996037304401397,99.0,0.0208740279078483,ModelStateDict-Waypoint_0-1726884501.643591.pt,0.020633652806282,ModelStateDict-Waypoint_1-1726884507.338427.pt,0.0202855035662651,ModelStateDict-Waypoint_2-1726884514.2864578.pt,0.0202848121523857,ModelStateDict-Waypoint_3-1726884520.6401017.pt,0.0202834129333496,ModelStateDict-Waypoint_4-1726884526.6960056.pt,31.87496781349182,22015875.0,22040395.0,0.0,0.0,0.0,"1516/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/20","1516/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/20",225280.0,
2,v0.95 - 95,0,CrossEntropy,Adam,0.000904255,1,100,MainLinear,0.000224328,27,875,ACI,3000,0.2,100,-2,3,cuda,0.001,0.001,"[866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 20]","[0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 1.0]",ADDM_Joint,0.5,0.5,0.05,0.03,3.0,2.0,False,"[10, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 20]",,ModelStateDict1726884190.4985795.pt,20,1516,1329270,2024-09-21 02:09:20.997362,x86_64,63.97937822341919,662.1511679999967,359326720.0,80.0,20.0,1.7183433771133425,0.1283980582524271,0.0638002773925104,0.0,0.0214792922139167,1.7061712741851809,0.1814814814814814,0.0864197530864197,0.0,0.085308563709259,0.0,,,,,,,,,,,0.6727690696716309,22015875.0,22040395.0,443379.0,0.0,252.0,"1516/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/20","1516/866, 875/866, 875/866, 875/866, 875/866, 875/866, 875/866, 875/866, 875/866, 875/866, 875/866, 875/866, 875/866, 875/866, 875/866, 875/866, 875/866, 875/866, 875/866, 875/866, 875/866, 875/866, 875/866, 875/866, 875/866, 875/866, 875/866, 875/866, 875/20",244836.0,0.0
3,v0.95 - 95,0,CrossEntropy,Adam,0.000904255,1,100,MainLinear,0.000224328,27,875,ACI,3000,0.2,100,-2,3,cuda,0.001,0.001,"[866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 20]","[0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 1.0]",TOFD,0.5,0.5,0.05,0.03,3.0,2.0,False,"[10, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 20]",,ModelStateDict1726884190.4985795.pt,20,1516,972288,2024-09-21 02:09:23.217979,x86_64,33.89422011375427,776.0568319999998,196864512.0,80.0,20.0,2.777601957321167,0.1384615384615384,0.0659340659340659,0.0,0.0347200244665145,2.80263352394104,0.0391304347826086,0.0434782608695652,0.0,0.140131676197052,0.0,,,,,,,,,,,0.654529333114624,43254630.0,21651611.0,0.0,0.0,0.0,"1516/867, 867/867, 867/867, 867/867, 867/867, 867/867, 867/867, 867/867, 867/867, 867/867, 867/867, 867/867, 867/867, 867/867, 867/867, 867/867, 867/867, 867/867, 867/867, 867/867, 867/867, 867/867, 867/867, 867/867, 867/867, 867/867, 867/867, 867/867, 867/20","1516/867, 867/867, 867/867, 867/867, 867/867, 867/867, 867/867, 867/867, 867/867, 867/867, 867/867, 867/867, 867/867, 867/867, 867/867, 867/867, 867/867, 867/867, 867/867, 867/867, 867/867, 867/867, 867/867, 867/867, 867/867, 867/867, 867/867, 867/867, 867/20",246703.0,0.0
4,v0.95 - 95,0,CrossEntropy,Adam,0.000904255,1,100,MainLinear,0.000224328,27,875,ACI,3000,0.2,100,-2,3,cuda,0.001,0.001,"[761, 761, 761, 761, 761, 761, 761, 761, 761, 761, 761, 761, 761, 761, 761, 761, 761, 761, 761, 761, 761, 761, 761, 761, 761, 761, 761, 761, 20]","[0.87, 0.87, 0.87, 0.87, 0.87, 0.87, 0.87, 0.87, 0.87, 0.87, 0.87, 0.87, 0.87, 0.87, 0.87, 0.87, 0.87, 0.87, 0.87, 0.87, 0.87, 0.87, 0.87, 0.87, 0.87, 0.87, 0.87, 0.87, 1.0]",TOFD,0.5,0.5,0.05,0.03,3.0,2.0,False,"[10, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 20]",,ModelStateDict1726884190.4985795.pt,20,1516,972288,2024-09-21 02:09:54.200341,x86_64,26.30787944793701,420.0652799999998,141668352.0,80.0,20.0,2.8018345832824707,0.1283980582524271,0.0638002773925104,0.0,0.0350229322910308,2.817065715789795,0.1814814814814814,0.0864197530864197,0.0,0.1408532857894897,0.0,,,,,,,,,,,0.4230818748474121,33695640.0,16869176.0,0.0,0.0,0.0,"1516/762, 762/762, 762/762, 762/762, 762/762, 762/762, 762/762, 762/762, 762/762, 762/762, 762/762, 762/762, 762/762, 762/762, 762/762, 762/762, 762/762, 762/762, 762/762, 762/762, 762/762, 762/762, 762/762, 762/762, 762/762, 762/762, 762/762, 762/762, 762/20","1516/762, 762/762, 762/762, 762/762, 762/762, 762/762, 762/762, 762/762, 762/762, 762/762, 762/762, 762/762, 762/762, 762/762, 762/762, 762/762, 762/762, 762/762, 762/762, 762/762, 762/762, 762/762, 762/762, 762/762, 762/762, 762/762, 762/762, 762/762, 762/20",472252.0,0.0
5,v0.95 - 95,0,CrossEntropy,Adam,0.000904255,1,100,MainLinear,0.000224328,27,875,ACI,3000,0.2,100,-2,3,cuda,0.001,0.001,"[647, 647, 647, 647, 647, 647, 647, 647, 647, 647, 647, 647, 647, 647, 647, 647, 647, 647, 647, 647, 647, 647, 647, 647, 647, 647, 647, 647, 20]","[0.74, 0.74, 0.74, 0.74, 0.74, 0.74, 0.74, 0.74, 0.74, 0.74, 0.74, 0.74, 0.74, 0.74, 0.74, 0.74, 0.74, 0.74, 0.74, 0.74, 0.74, 0.74, 0.74, 0.74, 0.74, 0.74, 0.74, 0.74, 1.0]",TOFD,0.5,0.5,0.05,0.03,3.0,2.0,False,"[10, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 20]",,ModelStateDict1726884190.4985795.pt,20,1516,972288,2024-09-21 02:10:23.847979,x86_64,25.749112129211422,333.4266879999996,107084288.0,80.0,20.0,2.775482177734375,0.1384615384615384,0.0659340659340659,0.0,0.0346935272216796,2.809913158416748,0.0391304347826086,0.0434782608695652,0.0,0.1404956579208374,0.0,,,,,,,,,,,0.5341498851776123,24665472.0,12350900.0,0.0,0.0,0.0,"1516/648, 648/648, 648/648, 648/648, 648/648, 648/648, 648/648, 648/648, 648/648, 648/648, 648/648, 648/648, 648/648, 648/648, 648/648, 648/648, 648/648, 648/648, 648/648, 648/648, 648/648, 648/648, 648/648, 648/648, 648/648, 648/648, 648/648, 648/648, 648/20","1516/648, 648/648, 648/648, 648/648, 648/648, 648/648, 648/648, 648/648, 648/648, 648/648, 648/648, 648/648, 648/648, 648/648, 648/648, 648/648, 648/648, 648/648, 648/648, 648/648, 648/648, 648/648, 648/648, 648/648, 648/648, 648/648, 648/648, 648/648, 648/20",592481.0,0.0
6,v0.95 - 95,0,CrossEntropy,Adam,0.000904255,1,100,MainLinear,0.000224328,27,875,ACI,3000,0.2,100,-2,3,cuda,0.001,0.001,"[761, 761, 761, 761, 761, 761, 761, 761, 761, 761, 761, 761, 761, 761, 761, 761, 761, 761, 761, 761, 761, 761, 761, 761, 761, 761, 761, 761, 20]","[0.87, 0.87, 0.87, 0.87, 0.87, 0.87, 0.87, 0.87, 0.87, 0.87, 0.87, 0.87, 0.87, 0.87, 0.87, 0.87, 0.87, 0.87, 0.87, 0.87, 0.87, 0.87, 0.87, 0.87, 0.87, 0.87, 0.87, 0.87, 1.0]",ADDM_Joint,0.5,0.5,0.05,0.03,3.0,2.0,False,"[10, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 20]",,ModelStateDict1726884190.4985795.pt,20,1516,1329270,2024-09-21 02:10:29.823703,x86_64,64.4927499294281,-139.28857600000265,342437888.0,80.0,20.0,1.748321294784546,0.1283980582524271,0.0638002773925104,0.0,0.0218540161848068,1.7751233577728271,0.1814814814814814,0.0864197530864197,0.0,0.0887561678886413,0.0,,,,,,,,,,,0.5902590751647949,22015875.0,22040395.0,5293143.0,0.0,3192.0,"1516/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/20","1516/761, 875/761, 875/761, 875/761, 875/761, 875/761, 875/761, 875/761, 875/761, 875/761, 875/761, 875/761, 875/761, 875/761, 875/761, 875/761, 875/761, 875/761, 875/761, 875/761, 875/761, 875/761, 875/761, 875/761, 875/761, 875/761, 875/761, 875/761, 875/20",489560.0,0.0
7,v0.95 - 95,0,CrossEntropy,Adam,0.000904255,1,100,MainLinear,0.000224328,27,875,ACI,3000,0.2,100,-2,3,cuda,0.001,0.001,"[542, 542, 542, 542, 542, 542, 542, 542, 542, 542, 542, 542, 542, 542, 542, 542, 542, 542, 542, 542, 542, 542, 542, 542, 542, 542, 542, 542, 20]","[0.62, 0.62, 0.62, 0.62, 0.62, 0.62, 0.62, 0.62, 0.62, 0.62, 0.62, 0.62, 0.62, 0.62, 0.62, 0.62, 0.62, 0.62, 0.62, 0.62, 0.62, 0.62, 0.62, 0.62, 0.62, 0.62, 0.62, 0.62, 1.0]",TOFD,0.5,0.5,0.05,0.03,3.0,2.0,False,"[10, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 20]",,ModelStateDict1726884190.4985795.pt,20,1516,972288,2024-09-21 02:10:52.779659,x86_64,24.63438892364502,320.6840320000001,81437696.0,80.0,20.0,2.7797205448150635,0.1384615384615384,0.0659340659340659,0.0,0.0347465068101882,2.8138787746429443,0.0391304347826086,0.0434782608695652,0.0,0.1406939387321472,0.0,,,,,,,,,,,0.5029416084289551,17589942.0,8810195.0,0.0,0.0,0.0,"1516/543, 543/543, 543/543, 543/543, 543/543, 543/543, 543/543, 543/543, 543/543, 543/543, 543/543, 543/543, 543/543, 543/543, 543/543, 543/543, 543/543, 543/543, 543/543, 543/543, 543/543, 543/543, 543/543, 543/543, 543/543, 543/543, 543/543, 543/543, 543/20","1516/543, 543/543, 543/543, 543/543, 543/543, 543/543, 543/543, 543/543, 543/543, 543/543, 543/543, 543/543, 543/543, 543/543, 543/543, 543/543, 543/543, 543/543, 543/543, 543/543, 543/543, 543/543, 543/543, 543/543, 543/543, 543/543, 543/543, 543/543, 543/20",691584.0,0.0
8,v0.95 - 95,0,CrossEntropy,Adam,0.000904255,1,100,MainLinear,0.000224328,27,875,ACI,3000,0.2,100,-2,3,cuda,0.001,0.001,"[428, 428, 428, 428, 428, 428, 428, 428, 428, 428, 428, 428, 428, 428, 428, 428, 428, 428, 428, 428, 428, 428, 428, 428, 428, 428, 428, 428, 20]","[0.49, 0.49, 0.49, 0.49, 0.49, 0.49, 0.49, 0.49, 0.49, 0.49, 0.49, 0.49, 0.49, 0.49, 0.49, 0.49, 0.49, 0.49, 0.49, 0.49, 0.49, 0.49, 0.49, 0.49, 0.49, 0.49, 0.49, 0.49, 1.0]",TOFD,0.5,0.5,0.05,0.03,3.0,2.0,False,"[10, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 20]",,ModelStateDict1726884190.4985795.pt,20,1516,972288,2024-09-21 02:11:21.574341,x86_64,24.522740364074707,746.9752319999998,48622592.0,80.0,20.0,2.8034958839416504,0.1384615384615384,0.0659340659340659,0.0,0.0350436985492706,2.822337865829468,0.0391304347826086,0.0434782608695652,0.0,0.1411168932914734,0.0,,,,,,,,,,,0.4535975456237793,11256102.0,5640083.0,0.0,0.0,0.0,"1516/429, 429/429, 429/429, 429/429, 429/429, 429/429, 429/429, 429/429, 429/429, 429/429, 429/429, 429/429, 429/429, 429/429, 429/429, 429/429, 429/429, 429/429, 429/429, 429/429, 429/429, 429/429, 429/429, 429/429, 429/429, 429/429, 429/429, 429/429, 429/20","1516/429, 429/429, 429/429, 429/429, 429/429, 429/429, 429/429, 429/429, 429/429, 429/429, 429/429, 429/429, 429/429, 429/429, 429/429, 429/429, 429/429, 429/429, 429/429, 429/429, 429/429, 429/429, 429/429, 429/429, 429/429, 429/429, 429/429, 429/429, 429/20",769327.0,0.0
9,v0.95 - 95,0,CrossEntropy,Adam,0.000904255,1,100,MainLinear,0.000224328,27,875,ACI,3000,0.2,100,-2,3,cuda,0.001,0.001,"[647, 647, 647, 647, 647, 647, 647, 647, 647, 647, 647, 647, 647, 647, 647, 647, 647, 647, 647, 647, 647, 647, 647, 647, 647, 647, 647, 647, 20]","[0.74, 0.74, 0.74, 0.74, 0.74, 0.74, 0.74, 0.74, 0.74, 0.74, 0.74, 0.74, 0.74, 0.74, 0.74, 0.74, 0.74, 0.74, 0.74, 0.74, 0.74, 0.74, 0.74, 0.74, 0.74, 0.74, 0.74, 0.74, 1.0]",ADDM_Joint,0.5,0.5,0.05,0.03,3.0,2.0,False,"[10, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 20]",,ModelStateDict1726884190.4985795.pt,20,1516,1329270,2024-09-21 02:11:42.495537,x86_64,68.59567856788635,-123.60089600000356,343775232.0,80.0,20.0,1.7800300121307373,0.1283980582524271,0.0638002773925104,0.0,0.0222503751516342,1.811971664428711,0.1814814814814814,0.0864197530864197,0.0,0.0905985832214355,0.0,,,,,,,,,,,0.5859477519989014,22015875.0,22040395.0,9874697.0,0.0,6384.0,"1516/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/20","1516/647, 875/647, 875/647, 875/647, 875/647, 875/647, 875/647, 875/647, 875/647, 875/647, 875/647, 875/647, 875/647, 875/647, 875/647, 875/647, 875/647, 875/647, 875/647, 875/647, 875/647, 875/647, 875/647, 875/647, 875/647, 875/647, 875/647, 875/647, 875/20",659228.0,0.0
10,v0.95 - 95,0,CrossEntropy,Adam,0.000904255,1,100,MainLinear,0.000224328,27,875,ACI,3000,0.2,100,-2,3,cuda,0.001,0.001,"[866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 20]","[0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 1.0]",iteritive_full_theseus_training|iteritive_full_theseus,0.5,0.5,0.05,0.03,3.0,2.0,False,"[10, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 20]",,ModelStateDict1726884190.4985795.pt,20,1516,1329715,2024-09-21 02:12:37.229436,x86_64,197.33539462089536,1618.677759999999,279013888.0,80.0,20.0,1.373052000999451,0.4146138211382114,0.2007742934572203,0.0,0.0171631500124931,2.172783851623535,0.2634615384615384,0.173076923076923,0.0,0.1086391925811767,99.0,0.0161744147539138,,0.0161263108253479,,0.0161190018057823,,0.0161176353693008,,0.0161171957850456,,27.586424827575684,21627315.0,21651611.0,0.0,0.0,0.0,"1516/867, 867/867, 867/867, 867/867, 867/867, 867/867, 867/867, 867/867, 867/867, 867/867, 867/867, 867/867, 867/867, 867/867, 867/867, 867/867, 867/867, 867/867, 867/867, 867/867, 867/867, 867/867, 867/867, 867/867, 867/867, 867/867, 867/867, 867/867, 867/20","1516/867, 867/867, 867/867, 867/867, 867/867, 867/867, 867/867, 867/867, 867/867, 867/867, 867/867, 867/867, 867/867, 867/867, 867/867, 867/867, 867/867, 867/867, 867/867, 867/867, 867/867, 867/867, 867/867, 867/867, 867/867, 867/867, 867/867, 867/867, 867/20",298432.0,0.0
11,v0.95 - 95,0,CrossEntropy,Adam,0.000904255,1,100,MainLinear,0.000224328,27,875,ACI,3000,0.2,100,-2,3,cuda,0.001,0.001,"[542, 542, 542, 542, 542, 542, 542, 542, 542, 542, 542, 542, 542, 542, 542, 542, 542, 542, 542, 542, 542, 542, 542, 542, 542, 542, 542, 542, 20]","[0.62, 0.62, 0.62, 0.62, 0.62, 0.62, 0.62, 0.62, 0.62, 0.62, 0.62, 0.62, 0.62, 0.62, 0.62, 0.62, 0.62, 0.62, 0.62, 0.62, 0.62, 0.62, 0.62, 0.62, 0.62, 0.62, 0.62, 0.62, 1.0]",ADDM_Joint,0.5,0.5,0.05,0.03,3.0,2.0,False,"[10, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 20]",,ModelStateDict1726884190.4985795.pt,20,1516,1329270,2024-09-21 02:12:56.463065,x86_64,69.79921865463257,-341.6104959999975,342086656.0,80.0,20.0,1.7815120220184326,0.1283980582524271,0.0638002773925104,0.0,0.0222689002752304,1.8146063089370728,0.1814814814814814,0.0864197530864197,0.0,0.0907303154468536,0.0,,,,,,,,,,,0.6821136474609375,22015875.0,22040395.0,13463287.0,0.0,9324.0,"1516/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/20","1516/542, 875/542, 875/542, 875/542, 875/542, 875/542, 875/542, 875/542, 875/542, 875/542, 875/542, 875/542, 875/542, 875/542, 875/542, 875/542, 875/542, 875/542, 875/542, 875/542, 875/542, 875/542, 875/542, 875/542, 875/542, 875/542, 875/542, 875/542, 875/20",828896.0,0.0
12,v0.95 - 95,0,CrossEntropy,Adam,0.000904255,1,100,MainLinear,0.000224328,27,875,ACI,3000,0.2,100,-2,3,cuda,0.001,0.001,"[323, 323, 323, 323, 323, 323, 323, 323, 323, 323, 323, 323, 323, 323, 323, 323, 323, 323, 323, 323, 323, 323, 323, 323, 323, 323, 323, 323, 20]","[0.37, 0.37, 0.37, 0.37, 0.37, 0.37, 0.37, 0.37, 0.37, 0.37, 0.37, 0.37, 0.37, 0.37, 0.37, 0.37, 0.37, 0.37, 0.37, 0.37, 0.37, 0.37, 0.37, 0.37, 0.37, 0.37, 0.37, 0.37, 1.0]",TOFD,0.5,0.5,0.05,0.03,3.0,2.0,False,"[10, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 20]",,ModelStateDict1726884190.4985795.pt,20,1516,972288,2024-09-21 02:13:10.649563,x86_64,104.97089314460754,-1982.5254400000003,-216269824.0,80.0,20.0,2.81942081451416,0.1384615384615384,0.0659340659340659,0.0,0.035242760181427,2.8493778705596924,0.0391304347826086,0.0434782608695652,0.0,0.1424688935279846,0.0,,,,,,,,,,,0.488023042678833,6664032.0,3341108.0,0.0,0.0,0.0,"1516/324, 324/324, 324/324, 324/324, 324/324, 324/324, 324/324, 324/324, 324/324, 324/324, 324/324, 324/324, 324/324, 324/324, 324/324, 324/324, 324/324, 324/324, 324/324, 324/324, 324/324, 324/324, 324/324, 324/324, 324/324, 324/324, 324/324, 324/324, 324/20","1516/324, 324/324, 324/324, 324/324, 324/324, 324/324, 324/324, 324/324, 324/324, 324/324, 324/324, 324/324, 324/324, 324/324, 324/324, 324/324, 324/324, 324/324, 324/324, 324/324, 324/324, 324/324, 324/324, 324/324, 324/324, 324/324, 324/324, 324/324, 324/20",265516.0,0.0
