,Version,Notes,LossFunction,Optimizer,LearningRate,SchedulerLR,NumberOfEpochs,ModelStructure,Dropout,HiddenDim,HiddenDimSize,DatasetName,BatchSize,TrainTest,MaxSamples,Dataparallel,NumberOfWorkers,Device,AlphaForADMM,RhoForADMM,LayerPruneTargets,WeightPrunePercent,PruningSelection,BERTTheseusStartingLearningRate,BERTTheseusLearningRateModifier,AlphaForTOFD,BetaForTOFD,tForTOFD,DAISRegularizerScale,LassoForDAIS,LayerIteration,SaveLocation,FromSaveLocation,NumClasses,NumFeatures,ProcessID,StartTime,cpuModel,gpuModel,gpuInfo,TimeForPrune,Epoch waypoint 0 mean_loss,-Waypoint_0-,Epoch waypoint 1 mean_loss,-Waypoint_1-,Epoch waypoint 2 mean_loss,-Waypoint_2-,Epoch waypoint 3 mean_loss,-Waypoint_3-,Epoch waypoint 4 mean_loss,-Waypoint_4-,TimeForPruneAndRetrain,Memory,CudaMemory,LengthOfTrainingData,LengthOfValidationData,total_loss,f1_score_weight,f1_score_macro,additive_loss,f1_scores_all_0,f1_scores_all_1,f1_scores_all_2,f1_scores_all_3,f1_scores_all_4,f1_scores_all,mean_loss,val_total_loss,val_f1_score_weight,val_f1_score_macro,val_additive_loss,val_f1_scores_all_0,val_f1_scores_all_1,val_f1_scores_all_2,val_f1_scores_all_3,val_f1_scores_all_4,val_f1_scores_all,val_mean_loss,epoch,TimeForRun,macs,parameters,NumberOfZeros,Zeroed_filter_inputs,Zeroed_filter_outputs,ModelWeightStructure,ModelWeightStructurePruneZero,GarbageCollectionSizeTotal,AssociatedOriginalRow
0,v0.124 - 124,0,CrossEntropy,Adam,0.0009,1,150,MainLinear,0.0002,27,75,ACI_grouped,100,0.2,0,-2,3,cuda,0.0005,0.0015,"[74, 68, 69, 70, 71, 72, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 90, 91, 5]","[0.99, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 1.0]",,0.5,0.5,0.05,0.03,3,2,FALSE,"[10, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 5]",ModelStateDict1730954262.2141309.pt,,5,1516,1754664,01:55.8,x86_64,NVIDIA GeForce GTX TITAN X,"_CudaDeviceProperties(name='NVIDIA GeForce GTX TITAN X', major=5, minor=2, total_memory=12200MB, multi_processor_count=24)",0.065653563,0.001115513,ModelStateDict-Waypoint_0-1730952529.7139344.pt,0.000381093,ModelStateDict-Waypoint_1-1730952957.484382.pt,0.000304165,ModelStateDict-Waypoint_2-1730953384.5808785.pt,0.000292433,ModelStateDict-Waypoint_3-1730953810.8751116.pt,0.000292736,ModelStateDict-Waypoint_4-1730954237.9116092.pt,2136.397484,-673.619968,21031424,25970,6492,5.551805714,0.992501941,0.984775359,0,0.98986361,0.999730821,0.995885642,0.938605619,0.999791101,"[0.9898636098285836, 0.9997308209959623, 0.9958856419453529, 0.9386056191467221, 0.9997911008982662]",0.000213778,3.584692938,0.987226853,0.974246334,0,0.98561601,0.993022008,0.991921769,0.901531729,0.999140155,"[0.9856160100062539, 0.9930220075147611, 0.9919217687074829, 0.9015317286652079, 0.999140154772141]",0.000552171,0,9.332561493,327312,329795,0,0,0,"1516/75, 75/76, 76/77, 77/78, 78/79, 79/80, 80/81, 81/82, 82/83, 83/84, 84/85, 85/86, 86/87, 87/88, 88/89, 89/90, 90/91, 91/92, 92/93, 93/94, 94/95, 95/96, 96/97, 97/98, 98/99, 99/100, 100/101, 101/102, 102/5","1516/75, 75/76, 76/77, 77/78, 78/79, 79/80, 80/81, 81/82, 82/83, 83/84, 84/85, 85/86, 86/87, 87/88, 88/89, 89/90, 90/91, 91/92, 92/93, 93/94, 94/95, 95/96, 96/97, 97/98, 98/99, 99/100, 100/101, 101/102, 102/5",26992,
1,v0.124 - 124,0,CrossEntropy,Adam,0.0009,1,150,MainLinear,0.0002,27,75,ACI_grouped,100,0.2,0,-2,3,cuda,0.0005,0.0015,"[74, 68, 69, 70, 71, 72, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 90, 91, 5]","[0.99, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 1.0]",,0.5,0.5,0.05,0.03,3,2,FALSE,"[10, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 5]",ModelStateDict1730954482.0195696.pt,,5,1516,950796,02:16.5,x86_64,NVIDIA GeForce GTX TITAN X,"_CudaDeviceProperties(name='NVIDIA GeForce GTX TITAN X', major=5, minor=2, total_memory=12200MB, multi_processor_count=24)",0.076845169,0.002263606,ModelStateDict-Waypoint_0-1730952589.819815.pt,0.000887003,ModelStateDict-Waypoint_1-1730953053.380814.pt,0.000722284,ModelStateDict-Waypoint_2-1730953521.0940948.pt,0.000704158,ModelStateDict-Waypoint_3-1730953977.2204988.pt,0.000691942,ModelStateDict-Waypoint_4-1730954453.7490234.pt,2334.398639,-4242.518016,21031424,25970,6492,15.8669794,0.977357835,0.944127194,0,0.972938823,0.994374498,0.991684762,0.765391015,0.996246872,"[0.972938822786143, 0.994374497723011, 0.9916847624596155, 0.7653910149750416, 0.9962468723936614]",0.000610973,5.534451551,0.972831054,0.932678155,0,0.967513536,0.988811934,0.99167556,0.725663717,0.989726027,"[0.9675135360266556, 0.9888119339371337, 0.9916755602988261, 0.7256637168141593, 0.9897260273972602]",0.000852503,0,10.29171467,327312,329795,0,0,0,"1516/75, 75/76, 76/77, 77/78, 78/79, 79/80, 80/81, 81/82, 82/83, 83/84, 84/85, 85/86, 86/87, 87/88, 88/89, 89/90, 90/91, 91/92, 92/93, 93/94, 94/95, 95/96, 96/97, 97/98, 98/99, 99/100, 100/101, 101/102, 102/5","1516/75, 75/76, 76/77, 77/78, 78/79, 79/80, 80/81, 81/82, 82/83, 83/84, 84/85, 85/86, 86/87, 87/88, 88/89, 89/90, 90/91, 91/92, 92/93, 93/94, 94/95, 95/96, 96/97, 97/98, 98/99, 99/100, 100/101, 101/102, 102/5",26992,
2,v0.124 - 124,0,CrossEntropy,Adam,0.0009,1,150,MainLinear,0.0002,27,75,ACI_grouped,100,0.2,0,-2,3,cuda,0.0005,0.0015,"[74, 68, 69, 70, 71, 72, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 90, 91, 5]","[0.99, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 1.0]",,0.5,0.5,0.05,0.03,3,2,FALSE,"[10, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 5]",ModelStateDict1730954322.3189435.pt,,5,1516,950797,02:16.6,x86_64,NVIDIA GeForce GTX TITAN X,"_CudaDeviceProperties(name='NVIDIA GeForce GTX TITAN X', major=5, minor=2, total_memory=12200MB, multi_processor_count=24)",0.054058313,0.00147229,ModelStateDict-Waypoint_0-1730952558.3782759.pt,0.000813532,ModelStateDict-Waypoint_1-1730952992.8987355.pt,0.00064136,ModelStateDict-Waypoint_2-1730953428.4615412.pt,0.000609976,ModelStateDict-Waypoint_3-1730953863.077226.pt,0.000595654,ModelStateDict-Waypoint_4-1730954297.442717.pt,2175.415421,-2312.310784,21031424,25970,6492,13.71825245,0.981023287,0.955699823,0,0.975298304,0.998924442,0.992299931,0.814269536,0.9977069,"[0.9752983043751309, 0.9989244420543156, 0.9922999309648983, 0.8142695356738392, 0.9977069001459246]",0.000528235,4.350845153,0.98165363,0.961374657,0,0.976570599,0.996784566,0.990798202,0.849557522,0.993162393,"[0.9765705992121086, 0.9967845659163987, 0.9907982024395463, 0.8495575221238938, 0.9931623931623932]",0.000670186,0,9.383628845,327312,329795,0,0,0,"1516/75, 75/76, 76/77, 77/78, 78/79, 79/80, 80/81, 81/82, 82/83, 83/84, 84/85, 85/86, 86/87, 87/88, 88/89, 89/90, 90/91, 91/92, 92/93, 93/94, 94/95, 95/96, 96/97, 97/98, 98/99, 99/100, 100/101, 101/102, 102/5","1516/75, 75/76, 76/77, 77/78, 78/79, 79/80, 80/81, 81/82, 82/83, 83/84, 84/85, 85/86, 86/87, 87/88, 88/89, 89/90, 90/91, 91/92, 92/93, 93/94, 94/95, 95/96, 96/97, 97/98, 98/99, 99/100, 100/101, 101/102, 102/5",26992,
3,v0.124 - 124,0,CrossEntropy,Adam,0.0009,1,50,MainLinear,0.0002,27,75,ACI_grouped,100,0.2,0,-2,3,cuda,0.0005,0.0015,"[74, 68, 69, 70, 71, 72, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 90, 91, 5]","[0.99, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 1.0]",ADDM_Joint,0.5,0.5,0.05,0.03,3,2,FALSE,"[10, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 5]",,ModelStateDict1730954482.0195696.pt,5,1516,1080905,23:11.4,x86_64,NVIDIA GeForce RTX 2080 Ti,"_CudaDeviceProperties(name='NVIDIA GeForce RTX 2080 Ti', major=7, minor=5, total_memory=11004MB, multi_processor_count=68)",2421.983017,,,,,,,,,,,2435.952945,-668.438528,21890048,25970,6492,20.32115174,0.977396921,0.944731499,0,0.976761421,0.985889244,0.991986414,0.782099094,0.98692132,"[0.9767614207823831, 0.9858892438764644, 0.991986414052964, 0.7820990942994139, 0.986921320323853]",0.000782486,6.565799553,0.975482863,0.939439236,0,0.972894078,0.986170213,0.991657754,0.757575758,0.988898377,"[0.9728940783986656, 0.9861702127659574, 0.9916577540106952, 0.7575757575757576, 0.9888983774551665]",0.001011368,0,14.54177761,327312,329795,23862,0,253,"1516/75, 75/76, 76/77, 77/78, 78/79, 79/80, 80/81, 81/82, 82/83, 83/84, 84/85, 85/86, 86/87, 87/88, 88/89, 89/90, 90/91, 91/92, 92/93, 93/94, 94/95, 95/96, 96/97, 97/98, 98/99, 99/100, 100/101, 101/102, 102/5","1516/74, 75/68, 76/69, 77/70, 78/71, 79/72, 80/72, 81/73, 82/74, 83/75, 84/76, 85/77, 86/78, 87/79, 88/80, 89/81, 90/81, 91/82, 92/83, 93/84, 94/85, 95/86, 96/87, 97/88, 98/89, 99/90, 100/90, 101/91, 102/5",40843,1
4,v0.124 - 124,0,CrossEntropy,Adam,0.0009,1,50,MainLinear,0.0002,27,75,ACI_grouped,100,0.2,0,-2,3,cuda,0.0005,0.0015,"[74, 68, 69, 70, 71, 72, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 90, 91, 5]","[0.99, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 1.0]",ADDM_Joint,0.5,0.5,0.05,0.03,3,2,FALSE,"[10, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 5]",,ModelStateDict1730954262.2141309.pt,5,1516,1079577,24:11.8,x86_64,NVIDIA GeForce RTX 2080 Ti,"_CudaDeviceProperties(name='NVIDIA GeForce RTX 2080 Ti', major=7, minor=5, total_memory=11004MB, multi_processor_count=68)",2548.853396,,,,,,,,,,,2563.306669,493.24032,21890048,25970,6492,3.410551318,0.995178301,0.991385413,0,0.993312102,0.999865429,0.996828417,0.96692112,1,"[0.993312101910828, 0.9998654286098776, 0.9968284173802727, 0.9669211195928753, 1.0]",0.000131327,2.253561617,0.991313363,0.981625814,0,0.988539279,0.997851772,0.995733788,0.926004228,1,"[0.9885392790164618, 0.9978517722878625, 0.9957337883959044, 0.9260042283298098, 1.0]",0.000347129,0,14.8212018,327312,329795,23862,0,253,"1516/75, 75/76, 76/77, 77/78, 78/79, 79/80, 80/81, 81/82, 82/83, 83/84, 84/85, 85/86, 86/87, 87/88, 88/89, 89/90, 90/91, 91/92, 92/93, 93/94, 94/95, 95/96, 96/97, 97/98, 98/99, 99/100, 100/101, 101/102, 102/5","1516/74, 75/68, 76/69, 77/70, 78/71, 79/72, 80/72, 81/73, 82/74, 83/75, 84/76, 85/77, 86/78, 87/79, 88/80, 89/81, 90/81, 91/82, 92/83, 93/84, 94/85, 95/86, 96/87, 97/88, 98/89, 99/90, 100/90, 101/91, 102/5",40843,0
5,v0.124 - 124,0,CrossEntropy,Adam,0.0009,1,50,MainLinear,0.0002,27,75,ACI_grouped,100,0.2,0,-2,3,cuda,0.0005,0.0015,"[74, 68, 69, 70, 71, 72, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 90, 91, 5]","[0.99, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 1.0]",ADDM_Joint,0.5,0.5,0.05,0.03,3,2,FALSE,"[10, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 5]",,ModelStateDict1730954322.3189435.pt,5,1516,532766,25:47.9,x86_64,NVIDIA GeForce RTX 2080 Ti,"_CudaDeviceProperties(name='NVIDIA GeForce RTX 2080 Ti', major=7, minor=5, total_memory=11004MB, multi_processor_count=68)",2472.6801,,,,,,,,,,,2486.969934,-1227.337728,21890048,25970,6492,15.69779093,0.981372113,0.96433286,0,0.985756489,0.975082147,0.992204486,0.908605024,0.960016155,"[0.9857564887106984, 0.9750821467688937, 0.9922044863976243, 0.9086050240513095, 0.960016155088853]",0.000604459,5.482174431,0.977268469,0.956259379,0,0.98340249,0.964226747,0.991237444,0.893333333,0.94909688,"[0.983402489626556, 0.9642267473858007, 0.9912374438982688, 0.8933333333333333, 0.9490968801313628]",0.000844451,0,15.18763494,327312,329795,23862,0,253,"1516/75, 75/76, 76/77, 77/78, 78/79, 79/80, 80/81, 81/82, 82/83, 83/84, 84/85, 85/86, 86/87, 87/88, 88/89, 89/90, 90/91, 91/92, 92/93, 93/94, 94/95, 95/96, 96/97, 97/98, 98/99, 99/100, 100/101, 101/102, 102/5","1516/74, 75/68, 76/69, 77/70, 78/71, 79/72, 80/72, 81/73, 82/74, 83/75, 84/76, 85/77, 86/78, 87/79, 88/80, 89/81, 90/81, 91/82, 92/83, 93/84, 94/85, 95/86, 96/87, 97/88, 98/89, 99/90, 100/90, 101/91, 102/5",40843,2
6,v0.124 - 124,0,CrossEntropy,Adam,0.0009,1,50,MainLinear,0.0002,27,75,ACI_grouped,100,0.2,0,-2,3,cuda,0.0005,0.0015,"[74, 68, 69, 70, 71, 72, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 90, 91, 5]","[0.99, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 1.0]",BERT_theseus_training|BERT_theseus,0.5,0.5,0.05,0.03,3,2,FALSE,"[10, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 5]",,ModelStateDict1730954262.2141309.pt,5,1516,1080495,41:06.3,x86_64,NVIDIA GeForce RTX 2080 Ti,"_CudaDeviceProperties(name='NVIDIA GeForce RTX 2080 Ti', major=7, minor=5, total_memory=11004MB, multi_processor_count=68)",3531.166515,0.013566084,,0.013566093,,0.013566095,,0.013565674,,0.013565672,,3996.95993,2356.129792,22359552,25970,6492,352.2992547,0.195342417,0.106992356,0,0,0,0.53496178,0,0,"[0.0, 0.0, 0.5349617803852988, 0.0, 0.0]",0.013565624,87.5803597,0.191988197,0.10621111,0,0,0,0.531055549,0,0,"[0.0, 0.0, 0.5310555492702794, 0.0, 0.0]",0.013490505,0,7.240293503,327312,329795,0,0,0,"1516/75, 75/76, 76/77, 77/78, 78/79, 79/80, 80/81, 81/82, 82/83, 83/84, 84/85, 85/86, 86/87, 87/88, 88/89, 89/90, 90/91, 91/92, 92/93, 93/94, 94/95, 95/96, 96/97, 97/98, 98/99, 99/100, 100/101, 101/102, 102/5","1516/75, 75/76, 76/77, 77/78, 78/79, 79/80, 80/81, 81/82, 82/83, 83/84, 84/85, 85/86, 86/87, 87/88, 88/89, 89/90, 90/91, 91/92, 92/93, 93/94, 94/95, 95/96, 96/97, 97/98, 98/99, 99/100, 100/101, 101/102, 102/5",44966,0
7,v0.124 - 124,0,CrossEntropy,Adam,0.0009,1,50,MainLinear,0.0002,27,75,ACI_grouped,100,0.2,0,-2,3,cuda,0.0005,0.0015,"[74, 68, 69, 70, 71, 72, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 90, 91, 5]","[0.99, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 1.0]",BERT_theseus_training|BERT_theseus,0.5,0.5,0.05,0.03,3,2,FALSE,"[10, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 5]",,ModelStateDict1730954322.3189435.pt,5,1516,533421,43:06.1,x86_64,NVIDIA GeForce RTX 2080 Ti,"_CudaDeviceProperties(name='NVIDIA GeForce RTX 2080 Ti', major=7, minor=5, total_memory=11004MB, multi_processor_count=68)",3479.031502,0.013566059,,0.013566074,,0.013566076,,0.01356567,,0.013565669,,3940.939324,-951.169024,22359552,25970,6492,352.2991945,0.195342417,0.106992356,0,0,0,0.53496178,0,0,"[0.0, 0.0, 0.5349617803852988, 0.0, 0.0]",0.013565622,87.58034706,0.191988197,0.10621111,0,0,0,0.531055549,0,0,"[0.0, 0.0, 0.5310555492702794, 0.0, 0.0]",0.013490503,0,7.375711679,327312,329795,0,0,0,"1516/75, 75/76, 76/77, 77/78, 78/79, 79/80, 80/81, 81/82, 82/83, 83/84, 84/85, 85/86, 86/87, 87/88, 88/89, 89/90, 90/91, 91/92, 92/93, 93/94, 94/95, 95/96, 96/97, 97/98, 98/99, 99/100, 100/101, 101/102, 102/5","1516/75, 75/76, 76/77, 77/78, 78/79, 79/80, 80/81, 81/82, 82/83, 83/84, 84/85, 85/86, 86/87, 87/88, 88/89, 89/90, 90/91, 91/92, 92/93, 93/94, 94/95, 95/96, 96/97, 97/98, 98/99, 99/100, 100/101, 101/102, 102/5",44966,2
8,v0.124 - 124,0,CrossEntropy,Adam,0.0009,1,50,MainLinear,0.0002,27,75,ACI_grouped,100,0.2,0,-2,3,cuda,0.0005,0.0015,"[74, 68, 69, 70, 71, 72, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 90, 91, 5]","[0.99, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 1.0]",BERT_theseus_training|BERT_theseus,0.5,0.5,0.05,0.03,3,2,FALSE,"[10, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 5]",,ModelStateDict1730954482.0195696.pt,5,1516,532409,43:10.5,x86_64,NVIDIA GeForce RTX 2080 Ti,"_CudaDeviceProperties(name='NVIDIA GeForce RTX 2080 Ti', major=7, minor=5, total_memory=11004MB, multi_processor_count=68)",3584.928653,0.013566063,,0.013566077,,0.01356608,,0.013565674,,0.013565672,,4064.253317,5429.243904,22359552,25970,6492,352.2992667,0.195342417,0.106992356,0,0,0,0.53496178,0,0,"[0.0, 0.0, 0.5349617803852988, 0.0, 0.0]",0.013565624,87.58036733,0.191988197,0.10621111,0,0,0,0.531055549,0,0,"[0.0, 0.0, 0.5310555492702794, 0.0, 0.0]",0.013490506,0,7.452544212,327312,329795,0,0,0,"1516/75, 75/76, 76/77, 77/78, 78/79, 79/80, 80/81, 81/82, 82/83, 83/84, 84/85, 85/86, 86/87, 87/88, 88/89, 89/90, 90/91, 91/92, 92/93, 93/94, 94/95, 95/96, 96/97, 97/98, 98/99, 99/100, 100/101, 101/102, 102/5","1516/75, 75/76, 76/77, 77/78, 78/79, 79/80, 80/81, 81/82, 82/83, 83/84, 84/85, 85/86, 86/87, 87/88, 88/89, 89/90, 90/91, 91/92, 92/93, 93/94, 94/95, 95/96, 96/97, 97/98, 98/99, 99/100, 100/101, 101/102, 102/5",44966,1
9,v0.124 - 124,0,CrossEntropy,Adam,0.0009,1,50,MainLinear,0.0002,27,75,ACI_grouped,100,0.2,0,-2,3,cuda,0.0005,0.0015,"[65, 60, 60, 61, 62, 63, 63, 64, 65, 66, 67, 67, 68, 69, 70, 71, 71, 72, 73, 74, 75, 75, 76, 77, 78, 79, 79, 80, 5]","[0.87, 0.79, 0.79, 0.79, 0.79, 0.79, 0.79, 0.79, 0.79, 0.79, 0.79, 0.79, 0.79, 0.79, 0.79, 0.79, 0.79, 0.79, 0.79, 0.79, 0.79, 0.79, 0.79, 0.79, 0.79, 0.79, 0.79, 0.79, 1.0]",ADDM_Joint,0.5,0.5,0.05,0.03,3,2,FALSE,"[10, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 5]",,ModelStateDict1730954482.0195696.pt,5,1516,1080905,04:22.2,x86_64,NVIDIA GeForce RTX 2080 Ti,"_CudaDeviceProperties(name='NVIDIA GeForce RTX 2080 Ti', major=7, minor=5, total_memory=11004MB, multi_processor_count=68)",2437.522462,,,,,,,,,,,2451.700591,891.809792,4850688,25970,6492,9.845166282,0.987896752,0.975021857,0,0.985065141,0.996913166,0.99307428,0.900683132,0.999373564,"[0.9850651414045122, 0.9969131660179842, 0.9930742796722178, 0.9006831318970048, 0.9993735644184589]",0.000379098,4.069736848,0.984421206,0.968822696,0,0.982243576,0.995717345,0.989379779,0.881057269,0.99571551,"[0.9822435763526217, 0.9957173447537473, 0.9893797790994052, 0.8810572687224669, 0.9957155098543273]",0.000626885,0,14.5634582,327312,329795,61082,0,528,"1516/75, 75/76, 76/77, 77/78, 78/79, 79/80, 80/81, 81/82, 82/83, 83/84, 84/85, 85/86, 86/87, 87/88, 88/89, 89/90, 90/91, 91/92, 92/93, 93/94, 94/95, 95/96, 96/97, 97/98, 98/99, 99/100, 100/101, 101/102, 102/5","1516/65, 75/60, 76/60, 77/61, 78/62, 79/63, 80/63, 81/64, 82/65, 83/66, 84/67, 85/67, 86/68, 87/69, 88/70, 89/71, 90/71, 91/72, 92/73, 93/74, 94/75, 95/75, 96/76, 97/77, 98/78, 99/79, 100/79, 101/80, 102/5",81574,1
10,v0.124 - 124,0,CrossEntropy,Adam,0.0009,1,50,MainLinear,0.0002,27,75,ACI_grouped,100,0.2,0,-2,3,cuda,0.0005,0.0015,"[65, 60, 60, 61, 62, 63, 63, 64, 65, 66, 67, 67, 68, 69, 70, 71, 71, 72, 73, 74, 75, 75, 76, 77, 78, 79, 79, 80, 5]","[0.87, 0.79, 0.79, 0.79, 0.79, 0.79, 0.79, 0.79, 0.79, 0.79, 0.79, 0.79, 0.79, 0.79, 0.79, 0.79, 0.79, 0.79, 0.79, 0.79, 0.79, 0.79, 0.79, 0.79, 0.79, 0.79, 0.79, 0.79, 1.0]",ADDM_Joint,0.5,0.5,0.05,0.03,3,2,FALSE,"[10, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 5]",,ModelStateDict1730954262.2141309.pt,5,1516,1079577,07:19.8,x86_64,NVIDIA GeForce RTX 2080 Ti,"_CudaDeviceProperties(name='NVIDIA GeForce RTX 2080 Ti', major=7, minor=5, total_memory=11004MB, multi_processor_count=68)",2553.907222,,,,,,,,,,,2568.526904,438.726656,4850688,25970,6492,5.089051586,0.994617602,0.988011032,0,0.993028578,0.999327143,0.998099462,0.953346856,0.996253122,"[0.9930285775105103, 0.9993271430493877, 0.9980994615140957, 0.9533468559837728, 0.9962531223980017]",0.000195959,2.271739802,0.991018304,0.979817808,0,0.989372786,0.996767241,0.996584116,0.924050633,0.992314261,"[0.9893727859970827, 0.9967672413793104, 0.9965841161400513, 0.9240506329113924, 0.9923142613151152]",0.000349929,0,14.93196893,327312,329795,61082,0,528,"1516/75, 75/76, 76/77, 77/78, 78/79, 79/80, 80/81, 81/82, 82/83, 83/84, 84/85, 85/86, 86/87, 87/88, 88/89, 89/90, 90/91, 91/92, 92/93, 93/94, 94/95, 95/96, 96/97, 97/98, 98/99, 99/100, 100/101, 101/102, 102/5","1516/65, 75/60, 76/60, 77/61, 78/62, 79/63, 80/63, 81/64, 82/65, 83/66, 84/67, 85/67, 86/68, 87/69, 88/70, 89/71, 90/71, 91/72, 92/73, 93/74, 94/75, 95/75, 96/76, 97/77, 98/78, 99/79, 100/79, 101/80, 102/5",81574,0
