,Version,Notes,LossFunction,Optimizer,LearningRate,SchedulerLR,NumberOfEpochs,ModelStructure,Dropout,HiddenDim,HiddenDimSize,DatasetName,BatchSize,TrainTest,MaxSamples,Dataparallel,NumberOfWorkers,Device,AlphaForADMM,RhoForADMM,LayerPruneTargets,WeightPrunePercent,PruningSelection,BERTTheseusStartingLearningRate,BERTTheseusLearningRateModifier,AlphaForTOFD,BetaForTOFD,tForTOFD,DAISRegularizerScale,LassoForDAIS,LayerIteration,TheseusRequiredGrads,SaveLocation,FromSaveLocation,NumClasses,NumFeatures,NumberWeightsplits,ResultsPath,ProcessID,StartTime,cpuModel,gpuModel,gpuInfo,TimeForPrune,Epoch waypoint 0 mean_loss,-Waypoint_0-,Epoch waypoint 1 mean_loss,-Waypoint_1-,Epoch waypoint 2 mean_loss,-Waypoint_2-,Epoch waypoint 3 mean_loss,-Waypoint_3-,Epoch waypoint 4 mean_loss,-Waypoint_4-,TimeForPruneAndRetrain,Memory,CudaMemory,LengthOfTrainingData,LengthOfValidationData,total_loss,f1_score_weight,f1_score_macro,additive_loss,f1_scores_all_0,f1_scores_all_1,f1_scores_all_2,f1_scores_all_3,f1_scores_all_4,f1_scores_all,mean_loss,val_total_loss,val_f1_score_weight,val_f1_score_macro,val_additive_loss,val_f1_scores_all_0,val_f1_scores_all_1,val_f1_scores_all_2,val_f1_scores_all_3,val_f1_scores_all_4,val_f1_scores_all,val_mean_loss,epoch,TimeForRun,macs,parameters,NumberOfZeros,Zeroed_filter_inputs,Zeroed_filter_outputs,ModelWeightStructure,ModelWeightStructurePruneZero,GarbageCollectionSizeTotal,AssociatedOriginalRow
0,v0.131 - 131,0,CrossEntropy,Adam,0.0009,1,150,MainLinear,0.0002,27,75,ACI_grouped,100,0.2,0,-2,3,cuda,0.0005,0.0015,"[74, 68, 69, 70, 71, 72, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 90, 91, 5]","[0.99, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 1.0]",,0.5,0.5,0.05,0.03,3,2,FALSE,"[10, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 5]",All,ModelStateDict1731904854.6284766.pt,,5,1515,8,,3556569,09:04.9,x86_64,NVIDIA GeForce GTX 1080 Ti,"_CudaDeviceProperties(name='NVIDIA GeForce GTX 1080 Ti', major=6, minor=1, total_memory=11165MB, multi_processor_count=28)",0.064349413,0.001591781,ModelStateDict-Waypoint_0-1731903310.972438.pt,0.0013168,ModelStateDict-Waypoint_1-1731903692.7788403.pt,0.000692162,ModelStateDict-Waypoint_2-1731904074.1955972.pt,0.000663018,ModelStateDict-Waypoint_3-1731904456.9029775.pt,0.00065167,ModelStateDict-Waypoint_4-1731904833.336816.pt,1900.768146,-2553.131008,21029888,25970,6492,15.22517855,0.980514317,0.951644367,0,0.978414236,0.990114881,0.992674382,0.79868709,0.998331247,"[0.9784142360745498, 0.990114881111408, 0.9926743815691687, 0.7986870897155361, 0.9983312473925741]",0.00058626,5.053400319,0.977366225,0.944231764,0,0.974454829,0.985630655,0.991866438,0.77092511,0.998281787,"[0.9744548286604361, 0.9856306546035125, 0.9918664383561644, 0.7709251101321586, 0.9982817869415808]",0.000778404,0,8.51501298,327237,329720,0,0,0,"1515/75, 75/76, 76/77, 77/78, 78/79, 79/80, 80/81, 81/82, 82/83, 83/84, 84/85, 85/86, 86/87, 87/88, 88/89, 89/90, 90/91, 91/92, 92/93, 93/94, 94/95, 95/96, 96/97, 97/98, 98/99, 99/100, 100/101, 101/102, 102/5","1515/75, 75/76, 76/77, 77/78, 78/79, 79/80, 80/81, 81/82, 82/83, 83/84, 84/85, 85/86, 86/87, 87/88, 88/89, 89/90, 90/91, 91/92, 92/93, 93/94, 94/95, 95/96, 96/97, 97/98, 98/99, 99/100, 100/101, 101/102, 102/5",26989,
1,v0.131 - 131,0,CrossEntropy,Adam,0.0009,1,150,MainLinear,0.0002,27,75,ACI_grouped,100,0.2,0,-2,3,cuda,0.0005,0.0015,"[74, 68, 69, 70, 71, 72, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 90, 91, 5]","[0.99, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 1.0]",,0.5,0.5,0.05,0.03,3,2,FALSE,"[10, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 5]",All,ModelStateDict1731904816.594452.pt,,5,1515,8,,3556570,09:05.0,x86_64,NVIDIA GeForce GTX 1080 Ti,"_CudaDeviceProperties(name='NVIDIA GeForce GTX 1080 Ti', major=6, minor=1, total_memory=11165MB, multi_processor_count=28)",0.121935368,0.001129604,ModelStateDict-Waypoint_0-1731903307.915928.pt,0.000659691,ModelStateDict-Waypoint_1-1731903682.834995.pt,0.000624036,ModelStateDict-Waypoint_2-1731904049.6498644.pt,0.000607753,ModelStateDict-Waypoint_3-1731904417.7717738.pt,0.00060615,ModelStateDict-Waypoint_4-1731904794.4721856.pt,1862.672889,-634.523648,21029888,25970,6492,13.82349672,0.982900928,0.959997417,0,0.98188711,0.989737438,0.992145208,0.839137645,0.997079683,"[0.9818871103622578, 0.9897374383579901, 0.9921452075151258, 0.8391376451077943, 0.9970796829370046]",0.000532287,5.061272115,0.978953308,0.946819341,0,0.977990033,0.986666667,0.992078784,0.783369803,0.993991416,"[0.9779900332225914, 0.9866666666666667, 0.9920787839862985, 0.7833698030634574, 0.9939914163090129]",0.000779617,0,8.513198614,327237,329720,0,0,0,"1515/75, 75/76, 76/77, 77/78, 78/79, 79/80, 80/81, 81/82, 82/83, 83/84, 84/85, 85/86, 86/87, 87/88, 88/89, 89/90, 90/91, 91/92, 92/93, 93/94, 94/95, 95/96, 96/97, 97/98, 98/99, 99/100, 100/101, 101/102, 102/5","1515/75, 75/76, 76/77, 77/78, 78/79, 79/80, 80/81, 81/82, 82/83, 83/84, 84/85, 85/86, 86/87, 87/88, 88/89, 89/90, 90/91, 91/92, 92/93, 93/94, 94/95, 95/96, 96/97, 97/98, 98/99, 99/100, 100/101, 101/102, 102/5",26989,
2,v0.131 - 131,0,CrossEntropy,Adam,0.0009,1,150,MainLinear,0.0002,27,75,ACI_grouped,100,0.2,0,-2,3,cuda,0.0005,0.0015,"[74, 68, 69, 70, 71, 72, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 90, 91, 5]","[0.99, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 1.0]",,0.5,0.5,0.05,0.03,3,2,FALSE,"[10, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 5]",All,ModelStateDict1731905373.8624258.pt,,5,1515,8,,2195749,09:23.9,x86_64,NVIDIA GeForce GTX TITAN X,"_CudaDeviceProperties(name='NVIDIA GeForce GTX TITAN X', major=5, minor=2, total_memory=12200MB, multi_processor_count=24)",0.076266766,0.001736084,ModelStateDict-Waypoint_0-1731903433.179701.pt,0.000821207,ModelStateDict-Waypoint_1-1731903913.4610674.pt,0.000636607,ModelStateDict-Waypoint_2-1731904391.5402763.pt,0.000650415,ModelStateDict-Waypoint_3-1731904868.032539.pt,0.000628261,ModelStateDict-Waypoint_4-1731905346.4783432.pt,2398.817586,1381.736448,21029888,25970,6492,14.22686396,0.981664288,0.955020194,0,0.979009147,0.992380698,0.99327651,0.813978495,0.996456118,"[0.9790091471474647, 0.9923806977676781, 0.9932765101381756, 0.8139784946236559, 0.9964561184073379]",0.000547819,5.038045989,0.978457593,0.944861356,0,0.97773153,0.98512221,0.992529349,0.775784753,0.993138937,"[0.9777315296566077, 0.9851222104144527, 0.9925293489861259, 0.7757847533632287, 0.9931389365351629]",0.000776039,0,10.42965198,327237,329720,0,0,0,"1515/75, 75/76, 76/77, 77/78, 78/79, 79/80, 80/81, 81/82, 82/83, 83/84, 84/85, 85/86, 86/87, 87/88, 88/89, 89/90, 90/91, 91/92, 92/93, 93/94, 94/95, 95/96, 96/97, 97/98, 98/99, 99/100, 100/101, 101/102, 102/5","1515/75, 75/76, 76/77, 77/78, 78/79, 79/80, 80/81, 81/82, 82/83, 83/84, 84/85, 85/86, 86/87, 87/88, 88/89, 89/90, 90/91, 91/92, 92/93, 93/94, 94/95, 95/96, 96/97, 97/98, 98/99, 99/100, 100/101, 101/102, 102/5",26989,
3,v0.131 - 131,0,CrossEntropy,Adam,0.0009,1,50,MainLinear,0.0002,27,75,ACI_grouped,100,0.2,0,-2,3,cuda,0.0005,0.0015,"[74, 68, 69, 70, 71, 72, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 90, 91, 5]","[0.99, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 1.0]",TOFD,0.5,0.5,0.05,0.03,3,2,FALSE,"[10, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 5]",All,,ModelStateDict1731904816.594452.pt,5,1515,8,,1560304,10:50.7,x86_64,NVIDIA GeForce RTX 2080 Ti,"_CudaDeviceProperties(name='NVIDIA GeForce RTX 2080 Ti', major=7, minor=5, total_memory=11004MB, multi_processor_count=68)",1254.227817,,,,,,,,,,,1261.593739,-4319.019008,18217984,25970,6492,400.2992902,0.193205307,0.106495635,0,0.532478174,0,0,0,0,"[0.5324781736501568, 0.0, 0.0, 0.0, 0.0]",0.015413912,99.99839175,0.200568376,0.108191932,0,0.540959658,0,0,0,0,"[0.540959658388583, 0.0, 0.0, 0.0, 0.0]",0.015403326,0,7.705065012,289157,291412,0,0,0,"1515/75, 75/69, 69/70, 70/71, 71/72, 72/72, 72/73, 73/74, 74/75, 75/76, 76/77, 77/78, 78/79, 79/80, 80/81, 81/81, 81/82, 82/83, 83/84, 84/85, 85/86, 86/87, 87/88, 88/89, 89/90, 90/90, 90/91, 91/92, 92/5","1515/75, 75/69, 69/70, 70/71, 71/72, 72/72, 72/73, 73/74, 74/75, 75/76, 76/77, 77/78, 78/79, 79/80, 80/81, 81/81, 81/82, 82/83, 83/84, 84/85, 85/86, 86/87, 87/88, 88/89, 89/90, 90/90, 90/91, 91/92, 92/5",17458,1
4,v0.131 - 131,0,CrossEntropy,Adam,0.0009,1,50,MainLinear,0.0002,27,75,ACI_grouped,100,0.2,0,-2,3,cuda,0.0005,0.0015,"[74, 68, 69, 70, 71, 72, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 90, 91, 5]","[0.99, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 1.0]",TOFD,0.5,0.5,0.05,0.03,3,2,FALSE,"[10, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 5]",All,,ModelStateDict1731904854.6284766.pt,5,1515,8,,2525227,10:59.2,x86_64,NVIDIA GeForce RTX 2080 Ti,"_CudaDeviceProperties(name='NVIDIA GeForce RTX 2080 Ti', major=7, minor=5, total_memory=11004MB, multi_processor_count=68)",1261.879388,,,,,,,,,,,1269.167954,-2674.069504,18217984,25970,6492,402.0959738,0.193205307,0.106495635,0,0.532478174,0,0,0,0,"[0.5324781736501568, 0.0, 0.0, 0.0, 0.0]",0.015483095,100.413664,0.200568376,0.108191932,0,0.540959658,0,0,0,0,"[0.540959658388583, 0.0, 0.0, 0.0, 0.0]",0.015467293,0,7.564353466,289157,291412,0,0,0,"1515/75, 75/69, 69/70, 70/71, 71/72, 72/72, 72/73, 73/74, 74/75, 75/76, 76/77, 77/78, 78/79, 79/80, 80/81, 81/81, 81/82, 82/83, 83/84, 84/85, 85/86, 86/87, 87/88, 88/89, 89/90, 90/90, 90/91, 91/92, 92/5","1515/75, 75/69, 69/70, 70/71, 71/72, 72/72, 72/73, 73/74, 74/75, 75/76, 76/77, 77/78, 78/79, 79/80, 80/81, 81/81, 81/82, 82/83, 83/84, 84/85, 85/86, 86/87, 87/88, 88/89, 89/90, 90/90, 90/91, 91/92, 92/5",17458,0
5,v0.131 - 131,0,CrossEntropy,Adam,0.0009,1,50,MainLinear,0.0002,27,75,ACI_grouped,100,0.2,0,-2,3,cuda,0.0005,0.0015,"[74, 68, 69, 70, 71, 72, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 90, 91, 5]","[0.99, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 1.0]",TOFD,0.5,0.5,0.05,0.03,3,2,FALSE,"[10, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 5]",All,,ModelStateDict1731905373.8624258.pt,5,1515,8,,1560313,12:01.9,x86_64,NVIDIA GeForce RTX 2080 Ti,"_CudaDeviceProperties(name='NVIDIA GeForce RTX 2080 Ti', major=7, minor=5, total_memory=11004MB, multi_processor_count=68)",1325.507852,,,,,,,,,,,1333.153034,-4369.719296,18217984,25970,6492,389.8394803,0.193205307,0.106495635,0,0.532478174,0,0,0,0,"[0.5324781736501568, 0.0, 0.0, 0.0, 0.0]",0.015011147,97.33749652,0.200568376,0.108191932,0,0.540959658,0,0,0,0,"[0.540959658388583, 0.0, 0.0, 0.0, 0.0]",0.014993453,0,7.831664801,289157,291412,0,0,0,"1515/75, 75/69, 69/70, 70/71, 71/72, 72/72, 72/73, 73/74, 74/75, 75/76, 76/77, 77/78, 78/79, 79/80, 80/81, 81/81, 81/82, 82/83, 83/84, 84/85, 85/86, 86/87, 87/88, 88/89, 89/90, 90/90, 90/91, 91/92, 92/5","1515/75, 75/69, 69/70, 70/71, 71/72, 72/72, 72/73, 73/74, 74/75, 75/76, 76/77, 77/78, 78/79, 79/80, 80/81, 81/81, 81/82, 82/83, 83/84, 84/85, 85/86, 86/87, 87/88, 88/89, 89/90, 90/90, 90/91, 91/92, 92/5",17458,2
6,v0.131 - 131,0,CrossEntropy,Adam,0.0009,1,50,MainLinear,0.0002,27,75,ACI_grouped,100,0.2,0,-2,3,cuda,0.0005,0.0015,"[74, 68, 69, 70, 71, 72, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 90, 91, 5]","[0.99, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 1.0]",ADDM_Joint,0.5,0.5,0.05,0.03,3,2,FALSE,"[10, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 5]",All,,ModelStateDict1731904854.6284766.pt,5,1515,8,,2525228,31:00.0,x86_64,NVIDIA GeForce RTX 2080 Ti,"_CudaDeviceProperties(name='NVIDIA GeForce RTX 2080 Ti', major=7, minor=5, total_memory=11004MB, multi_processor_count=68)",2462.589219,,,,,,,,,,,2476.767915,-1423.54432,21888512,25970,6492,15.06061453,0.981257838,0.956231778,0,0.981336418,0.985802304,0.992356688,0.832207207,0.989456275,"[0.981336417643657, 0.985802303777123, 0.9923566878980892, 0.8322072072072072, 0.9894562745503411]",0.000579924,4.138660422,0.982738155,0.961229547,0,0.981780538,0.986170213,0.992075391,0.851258581,0.994863014,"[0.9817805383022774, 0.9861702127659574, 0.9920753908759906, 0.851258581235698, 0.9948630136986302]",0.000637502,0,14.51546812,327237,329720,23861,0,253,"1515/75, 75/76, 76/77, 77/78, 78/79, 79/80, 80/81, 81/82, 82/83, 83/84, 84/85, 85/86, 86/87, 87/88, 88/89, 89/90, 90/91, 91/92, 92/93, 93/94, 94/95, 95/96, 96/97, 97/98, 98/99, 99/100, 100/101, 101/102, 102/5","1515/74, 75/68, 76/69, 77/70, 78/71, 79/72, 80/72, 81/73, 82/74, 83/75, 84/76, 85/77, 86/78, 87/79, 88/80, 89/81, 90/81, 91/82, 92/83, 93/84, 94/85, 95/86, 96/87, 97/88, 98/89, 99/90, 100/90, 101/91, 102/5",40839,0
7,v0.131 - 131,0,CrossEntropy,Adam,0.0009,1,50,MainLinear,0.0002,27,75,ACI_grouped,100,0.2,0,-2,3,cuda,0.0005,0.0015,"[74, 68, 69, 70, 71, 72, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 90, 91, 5]","[0.99, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 1.0]",ADDM_Joint,0.5,0.5,0.05,0.03,3,2,FALSE,"[10, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 5]",All,,ModelStateDict1731905373.8624258.pt,5,1515,8,,1560305,31:07.4,x86_64,NVIDIA GeForce RTX 2080 Ti,"_CudaDeviceProperties(name='NVIDIA GeForce RTX 2080 Ti', major=7, minor=5, total_memory=11004MB, multi_processor_count=68)",2470.970301,,,,,,,,,,,2485.394415,-2412.109824,21888512,25970,6492,11.95862256,0.98423038,0.958635124,0,0.986599135,0.986195912,0.994337126,0.834376779,0.991666667,"[0.9865991347472829, 0.9861959118662065, 0.9943371262238687, 0.8343767785998861, 0.9916666666666667]",0.000460478,4.046825477,0.982287545,0.95437439,0,0.983381803,0.983086681,0.993171148,0.813953488,0.99827883,"[0.9833818030743664, 0.9830866807610994, 0.9931711481007256, 0.813953488372093, 0.9982788296041308]",0.000623356,0,14.72073245,327237,329720,23861,0,253,"1515/75, 75/76, 76/77, 77/78, 78/79, 79/80, 80/81, 81/82, 82/83, 83/84, 84/85, 85/86, 86/87, 87/88, 88/89, 89/90, 90/91, 91/92, 92/93, 93/94, 94/95, 95/96, 96/97, 97/98, 98/99, 99/100, 100/101, 101/102, 102/5","1515/74, 75/68, 76/69, 77/70, 78/71, 79/72, 80/72, 81/73, 82/74, 83/75, 84/76, 85/77, 86/78, 87/79, 88/80, 89/81, 90/81, 91/82, 92/83, 93/84, 94/85, 95/86, 96/87, 97/88, 98/89, 99/90, 100/90, 101/91, 102/5",40839,2
8,v0.131 - 131,0,CrossEntropy,Adam,0.0009,1,50,MainLinear,0.0002,27,75,ACI_grouped,100,0.2,0,-2,3,cuda,0.0005,0.0015,"[74, 68, 69, 70, 71, 72, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 90, 91, 5]","[0.99, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 1.0]",ADDM_Joint,0.5,0.5,0.05,0.03,3,2,FALSE,"[10, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 5]",All,,ModelStateDict1731904816.594452.pt,5,1515,8,,1560309,31:30.5,x86_64,NVIDIA GeForce RTX 2080 Ti,"_CudaDeviceProperties(name='NVIDIA GeForce RTX 2080 Ti', major=7, minor=5, total_memory=11004MB, multi_processor_count=68)",2493.952635,,,,,,,,,,,2508.180425,301.211648,21888512,25970,6492,18.59016451,0.976496403,0.940463842,0,0.976541132,0.986192246,0.990672037,0.755555556,0.99335824,"[0.9765411319166842, 0.9861922464152948, 0.9906720373118507, 0.7555555555555555, 0.9933582399335824]",0.000715832,5.309944427,0.975901879,0.936999915,0,0.977768544,0.97733263,0.991452991,0.745283019,0.993162393,"[0.9777685435279452, 0.9773326304691619, 0.9914529914529915, 0.7452830188679245, 0.9931623931623932]",0.000817921,0,14.6900692,327237,329720,23861,0,253,"1515/75, 75/76, 76/77, 77/78, 78/79, 79/80, 80/81, 81/82, 82/83, 83/84, 84/85, 85/86, 86/87, 87/88, 88/89, 89/90, 90/91, 91/92, 92/93, 93/94, 94/95, 95/96, 96/97, 97/98, 98/99, 99/100, 100/101, 101/102, 102/5","1515/74, 75/68, 76/69, 77/70, 78/71, 79/72, 80/72, 81/73, 82/74, 83/75, 84/76, 85/77, 86/78, 87/79, 88/80, 89/81, 90/81, 91/82, 92/83, 93/84, 94/85, 95/86, 96/87, 97/88, 98/89, 99/90, 100/90, 101/91, 102/5",40839,1
9,v0.131 - 131,0,CrossEntropy,Adam,0.0009,1,50,MainLinear,0.0002,27,75,ACI_grouped,100,0.2,0,-2,3,cuda,0.0005,0.0015,"[65, 60, 60, 61, 62, 63, 63, 64, 65, 66, 67, 67, 68, 69, 70, 71, 71, 72, 73, 74, 75, 75, 76, 77, 78, 79, 79, 80, 5]","[0.87, 0.79, 0.79, 0.79, 0.79, 0.79, 0.79, 0.79, 0.79, 0.79, 0.79, 0.79, 0.79, 0.79, 0.79, 0.79, 0.79, 0.79, 0.79, 0.79, 0.79, 0.79, 0.79, 0.79, 0.79, 0.79, 0.79, 0.79, 1.0]",TOFD,0.5,0.5,0.05,0.03,3,2,FALSE,"[10, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 5]",All,,ModelStateDict1731904816.594452.pt,5,1515,8,,1560304,32:25.5,x86_64,NVIDIA GeForce RTX 2080 Ti,"_CudaDeviceProperties(name='NVIDIA GeForce RTX 2080 Ti', major=7, minor=5, total_memory=11004MB, multi_processor_count=68)",1275.105151,,,,,,,,,,,1282.545673,2527.875072,964608,25970,6492,394.7387397,0.193205307,0.106495635,0,0.532478174,0,0,0,0,"[0.5324781736501568, 0.0, 0.0, 0.0, 0.0]",0.015199797,98.55752456,0.200568376,0.108191932,0,0.540959658,0,0,0,0,"[0.540959658388583, 0.0, 0.0, 0.0, 0.0]",0.015181381,0,7.457635641,235543,237525,0,0,0,"1515/66, 66/61, 61/61, 61/62, 62/63, 63/64, 64/64, 64/65, 65/66, 66/67, 67/68, 68/68, 68/69, 69/70, 70/71, 71/72, 72/72, 72/73, 73/74, 74/75, 75/76, 76/76, 76/77, 77/78, 78/79, 79/79, 79/80, 80/81, 81/5","1515/66, 66/61, 61/61, 61/62, 62/63, 63/64, 64/64, 64/65, 65/66, 66/67, 67/68, 68/68, 68/69, 69/70, 70/71, 71/72, 72/72, 72/73, 73/74, 74/75, 75/76, 76/76, 76/77, 77/78, 78/79, 79/79, 79/80, 80/81, 81/5",33301,1
10,v0.131 - 131,0,CrossEntropy,Adam,0.0009,1,50,MainLinear,0.0002,27,75,ACI_grouped,100,0.2,0,-2,3,cuda,0.0005,0.0015,"[65, 60, 60, 61, 62, 63, 63, 64, 65, 66, 67, 67, 68, 69, 70, 71, 71, 72, 73, 74, 75, 75, 76, 77, 78, 79, 79, 80, 5]","[0.87, 0.79, 0.79, 0.79, 0.79, 0.79, 0.79, 0.79, 0.79, 0.79, 0.79, 0.79, 0.79, 0.79, 0.79, 0.79, 0.79, 0.79, 0.79, 0.79, 0.79, 0.79, 0.79, 0.79, 0.79, 0.79, 0.79, 0.79, 1.0]",TOFD,0.5,0.5,0.05,0.03,3,2,FALSE,"[10, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 5]",All,,ModelStateDict1731904854.6284766.pt,5,1515,8,,2525227,32:36.5,x86_64,NVIDIA GeForce RTX 2080 Ti,"_CudaDeviceProperties(name='NVIDIA GeForce RTX 2080 Ti', major=7, minor=5, total_memory=11004MB, multi_processor_count=68)",1277.799906,,,,,,,,,,,1285.070584,304.238592,964608,25970,6492,397.5234772,0.193205307,0.106495635,0,0.532478174,0,0,0,0,"[0.5324781736501568, 0.0, 0.0, 0.0, 0.0]",0.015307026,99.28435051,0.200568376,0.108191932,0,0.540959658,0,0,0,0,"[0.540959658388583, 0.0, 0.0, 0.0, 0.0]",0.015293338,0,7.576885939,235543,237525,0,0,0,"1515/66, 66/61, 61/61, 61/62, 62/63, 63/64, 64/64, 64/65, 65/66, 66/67, 67/68, 68/68, 68/69, 69/70, 70/71, 71/72, 72/72, 72/73, 73/74, 74/75, 75/76, 76/76, 76/77, 77/78, 78/79, 79/79, 79/80, 80/81, 81/5","1515/66, 66/61, 61/61, 61/62, 62/63, 63/64, 64/64, 64/65, 65/66, 66/67, 67/68, 68/68, 68/69, 69/70, 70/71, 71/72, 72/72, 72/73, 73/74, 74/75, 75/76, 76/76, 76/77, 77/78, 78/79, 79/79, 79/80, 80/81, 81/5",33301,0
