,Version,Notes,LossFunction,Optimizer,LearningRate,SchedulerLR,NumberOfEpochs,ModelStructure,Dropout,HiddenDim,HiddenDimSize,DatasetName,BatchSize,TrainTest,MaxSamples,Dataparallel,NumberOfWorkers,Device,AlphaForADMM,RhoForADMM,LayerPruneTargets,WeightPrunePercent,PruningSelection,BERTTheseusStartingLearningRate,BERTTheseusLearningRateModifier,AlphaForTOFD,BetaForTOFD,tForTOFD,DAISRegularizerScale,LassoForDAIS,LayerIteration,SaveLocation,FromSaveLocation,NumClasses,NumFeatures,ProcessID,StartTime,cpuModel,TimeForPrune,Memory,CudaMemory,LengthOfTrainingData,LengthOfValidationData,total_loss,f1_score_weight,f1_score_macro,additive_loss,mean_loss,val_total_loss,val_f1_score_weight,val_f1_score_macro,val_additive_loss,val_mean_loss,epoch,Epoch waypoint 0 mean_loss,-Waypoint_0-,Epoch waypoint 1 mean_loss,-Waypoint_1-,Epoch waypoint 2 mean_loss,-Waypoint_2-,Epoch waypoint 3 mean_loss,-Waypoint_3-,Epoch waypoint 4 mean_loss,-Waypoint_4-,TimeForRun,macs,parameters,NumberOfZeros,Zeroed_filter_inputs,Zeroed_filter_outputs,ModelWeightStructure,ModelWeightStructurePruneZero,GarbageCollectionSizeTotal,AssociatedOriginalRow
0,v0.96 - 96,0,CrossEntropy,Adam,0.0009,1,150,MainLinear,0.000224328,27,75,ACI_grouped,3000,0.2,0,-2,3,cuda,0.001,0.001,"[74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 10]","[0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 1.0]",,0.5,0.5,0.05,0.03,3.0,2.0,False,"[10, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 10]",ModelStateDict1727213668.3213663.pt,,10,1516,3200811,28:06.3,x86_64,0.005081177,1.028096000000005,0.0,25970.0,6492.0,2.665319174528122,0.904078163,0.8050217702545591,0.0,0.000102631,0.8924566805362701,0.905666186,0.8011578278439275,0.0,0.00013747,149.0,0.000136704,ModelStateDict-Waypoint_0-1727213360.2946768.pt,0.000106633,ModelStateDict-Waypoint_1-1727213436.1957936.pt,0.000102768,ModelStateDict-Waypoint_2-1727213512.3800113.pt,0.000103002,ModelStateDict-Waypoint_3-1727213588.8886251.pt,0.000103151,ModelStateDict-Waypoint_4-1727213665.6804612.pt,381.86864709854126,266325.0,268435.0,0.0,0.0,0.0,"1516/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/10","1516/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/10",23620.0,
1,v0.96 - 96,0,CrossEntropy,Adam,0.000904255,1,100,MainLinear,0.000224328,27,75,ACI_grouped,3000,0.2,1000,-2,3,cuda,0.001,0.001,"[74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 10]","[0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 1.0]",ADDM_Joint,0.5,0.5,0.05,0.03,3.0,2.0,False,"[10, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 10]",,ModelStateDict1727213668.3213663.pt,10,1516,3201807,34:44.1,x86_64,11.27012538909912,840.4869120000003,20118528.0,800.0,200.0,0.5153143405914307,0.847696577,0.6914711909115703,0.0,0.000644143,0.4434655010700226,0.8689774479716925,0.6931271318609449,0.0,0.002217328,0.0,,,,,,,,,,,0.331160307,266325.0,268435.0,6162.0,0.0,28.0,"1516/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/10","1516/74, 75/74, 75/74, 75/74, 75/74, 75/74, 75/74, 75/74, 75/74, 75/74, 75/74, 75/74, 75/74, 75/74, 75/74, 75/74, 75/74, 75/74, 75/74, 75/74, 75/74, 75/74, 75/74, 75/74, 75/74, 75/74, 75/74, 75/74, 75/10",19248.0,0.0
2,v0.96 - 96,0,CrossEntropy,Adam,0.000904255,1,100,MainLinear,0.000224328,27,75,ACI_grouped,3000,0.2,1000,-2,3,cuda,0.001,0.001,"[65, 65, 65, 65, 65, 65, 65, 65, 65, 65, 65, 65, 65, 65, 65, 65, 65, 65, 65, 65, 65, 65, 65, 65, 65, 65, 65, 65, 10]","[0.87, 0.87, 0.87, 0.87, 0.87, 0.87, 0.87, 0.87, 0.87, 0.87, 0.87, 0.87, 0.87, 0.87, 0.87, 0.87, 0.87, 0.87, 0.87, 0.87, 0.87, 0.87, 0.87, 0.87, 0.87, 0.87, 0.87, 0.87, 1.0]",ADDM_Joint,0.5,0.5,0.05,0.03,3.0,2.0,False,"[10, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 10]",,ModelStateDict1727213668.3213663.pt,10,1516,3201807,34:58.7,x86_64,12.388071060180664,583.4547199999997,3079168.0,800.0,200.0,0.8152346014976501,0.6243710799437566,0.3662643255617991,0.0,0.001019043,0.7512123584747314,0.6860451523256696,0.4013724485924577,0.0,0.003756062,0.0,,,,,,,,,,,0.2728631496429443,266325.0,268435.0,65189.0,0.0,280.0,"1516/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/10","1516/65, 75/65, 75/65, 75/65, 75/65, 75/65, 75/65, 75/65, 75/65, 75/65, 75/65, 75/65, 75/65, 75/65, 75/65, 75/65, 75/65, 75/65, 75/65, 75/65, 75/65, 75/65, 75/65, 75/65, 75/65, 75/65, 75/65, 75/65, 75/10",38384.0,0.0
3,v0.96 - 96,0,CrossEntropy,Adam,0.000904255,1,100,MainLinear,0.000224328,27,75,ACI_grouped,3000,0.2,1000,-2,3,cuda,0.001,0.001,"[55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 10]","[0.74, 0.74, 0.74, 0.74, 0.74, 0.74, 0.74, 0.74, 0.74, 0.74, 0.74, 0.74, 0.74, 0.74, 0.74, 0.74, 0.74, 0.74, 0.74, 0.74, 0.74, 0.74, 0.74, 0.74, 0.74, 0.74, 0.74, 0.74, 1.0]",ADDM_Joint,0.5,0.5,0.05,0.03,3.0,2.0,False,"[10, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 10]",,ModelStateDict1727213668.3213663.pt,10,1516,3201807,35:12.8,x86_64,11.79986834526062,538.411008,3079168.0,800.0,200.0,1.1909244060516355,0.524983844,0.2878941236437777,0.0,0.001488656,1.1514849662780762,0.5666071428571429,0.2982142857142857,0.0,0.005757425,0.0,,,,,,,,,,,0.3073363304138183,266325.0,268435.0,121285.0,0.0,560.0,"1516/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/10","1516/55, 75/55, 75/55, 75/55, 75/55, 75/55, 75/55, 75/55, 75/55, 75/55, 75/55, 75/55, 75/55, 75/55, 75/55, 75/55, 75/55, 75/55, 75/55, 75/55, 75/55, 75/55, 75/55, 75/55, 75/55, 75/55, 75/55, 75/55, 75/10",49684.0,0.0
4,v0.96 - 96,0,CrossEntropy,Adam,0.000904255,1,100,MainLinear,0.000224328,27,75,ACI_grouped,3000,0.2,1000,-2,3,cuda,0.001,0.001,"[46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 10]","[0.62, 0.62, 0.62, 0.62, 0.62, 0.62, 0.62, 0.62, 0.62, 0.62, 0.62, 0.62, 0.62, 0.62, 0.62, 0.62, 0.62, 0.62, 0.62, 0.62, 0.62, 0.62, 0.62, 0.62, 0.62, 0.62, 0.62, 0.62, 1.0]",ADDM_Joint,0.5,0.5,0.05,0.03,3.0,2.0,False,"[10, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 10]",,ModelStateDict1727213668.3213663.pt,10,1516,3201807,35:27.1,x86_64,11.923378705978394,527.1961599999995,3079168.0,800.0,200.0,1.530996561050415,0.1860147601476015,0.1047970479704797,0.0,0.001913746,1.5221655368804932,0.2092753623188405,0.1101449275362318,0.0,0.007610828,0.0,,,,,,,,,,,0.3031873703002929,266325.0,268435.0,164013.0,0.0,812.0,"1516/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/10","1516/46, 75/46, 75/46, 75/46, 75/46, 75/46, 75/46, 75/46, 75/46, 75/46, 75/46, 75/46, 75/46, 75/46, 75/46, 75/46, 75/46, 75/46, 75/46, 75/46, 75/46, 75/46, 75/46, 75/46, 75/46, 75/46, 75/46, 75/46, 75/10",60984.0,0.0
5,v0.96 - 96,0,CrossEntropy,Adam,0.000904255,1,100,MainLinear,0.000224328,27,75,ACI_grouped,3000,0.2,1000,-2,3,cuda,0.001,0.001,"[36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 10]","[0.49, 0.49, 0.49, 0.49, 0.49, 0.49, 0.49, 0.49, 0.49, 0.49, 0.49, 0.49, 0.49, 0.49, 0.49, 0.49, 0.49, 0.49, 0.49, 0.49, 0.49, 0.49, 0.49, 0.49, 0.49, 0.49, 0.49, 0.49, 1.0]",ADDM_Joint,0.5,0.5,0.05,0.03,3.0,2.0,False,"[10, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 10]",,ModelStateDict1727213668.3213663.pt,10,1516,3201807,35:41.9,x86_64,12.082937002182009,739.4426879999992,3079168.0,800.0,200.0,1.7658450603485107,0.1860147601476015,0.1047970479704797,0.0,0.002207306,1.7645199298858645,0.2092753623188405,0.1101449275362318,0.0,0.0088226,0.0,,,,,,,,,,,0.307997465,266325.0,268435.0,202810.0,0.0,1092.0,"1516/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/10","1516/36, 75/36, 75/36, 75/36, 75/36, 75/36, 75/36, 75/36, 75/36, 75/36, 75/36, 75/36, 75/36, 75/36, 75/36, 75/36, 75/36, 75/36, 75/36, 75/36, 75/36, 75/36, 75/36, 75/36, 75/36, 75/36, 75/36, 75/36, 75/10",72284.0,0.0
6,v0.96 - 96,0,CrossEntropy,Adam,0.000904255,1,100,MainLinear,0.000224328,27,75,ACI_grouped,3000,0.2,1000,-2,3,cuda,0.001,0.001,"[27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 10]","[0.37, 0.37, 0.37, 0.37, 0.37, 0.37, 0.37, 0.37, 0.37, 0.37, 0.37, 0.37, 0.37, 0.37, 0.37, 0.37, 0.37, 0.37, 0.37, 0.37, 0.37, 0.37, 0.37, 0.37, 0.37, 0.37, 0.37, 0.37, 1.0]",ADDM_Joint,0.5,0.5,0.05,0.03,3.0,2.0,False,"[10, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 10]",,ModelStateDict1727213668.3213663.pt,10,1516,3201807,35:56.8,x86_64,12.474096298217772,701.1942400000007,3079168.0,800.0,200.0,1.9217785596847528,0.016901368,0.035119726,0.0,0.002402223,1.923329472541809,0.009158879,0.026168224,0.0,0.009616647,0.0,,,,,,,,,,,0.3112902641296386,266325.0,268435.0,230201.0,6.0,1344.0,"1516/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/10","1513/27, 75/27, 75/27, 75/27, 75/27, 75/27, 75/27, 75/27, 75/27, 75/27, 75/27, 75/27, 75/27, 75/27, 75/27, 75/27, 75/27, 75/27, 75/27, 75/27, 75/27, 75/27, 75/27, 75/27, 75/27, 75/27, 75/27, 75/27, 72/10",83584.0,0.0
7,v0.96 - 96,0,CrossEntropy,Adam,0.000904255,1,100,MainLinear,0.000224328,27,75,ACI_grouped,3000,0.2,1000,-2,3,cuda,0.001,0.001,"[18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 10]","[0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 1.0]",ADDM_Joint,0.5,0.5,0.05,0.03,3.0,2.0,False,"[10, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 10]",,ModelStateDict1727213668.3213663.pt,10,1516,3201807,36:11.3,x86_64,11.988653659820557,805.2244480000008,3079168.0,800.0,200.0,2.0389792919158936,0.016901368,0.035119726,0.0,0.002548724,2.042738437652588,0.009158879,0.026168224,0.0,0.010213692,0.0,,,,,,,,,,,0.3620638847351074,266325.0,268435.0,249737.0,141.0,1596.0,"1516/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/10","1404/18, 75/18, 75/18, 74/18, 74/18, 75/18, 74/18, 73/18, 74/18, 75/18, 75/18, 74/18, 75/18, 75/18, 74/18, 72/18, 75/18, 75/18, 75/18, 75/18, 75/18, 74/18, 74/18, 75/18, 74/18, 75/18, 73/18, 75/18, 62/10",94884.0,0.0
8,v0.96 - 96,0,CrossEntropy,Adam,0.000904255,1,100,MainLinear,0.000224328,27,75,ACI_grouped,3000,0.2,1000,-2,3,cuda,0.001,0.001,"[9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 10]","[0.12, 0.12, 0.12, 0.12, 0.12, 0.12, 0.12, 0.12, 0.12, 0.12, 0.12, 0.12, 0.12, 0.12, 0.12, 0.12, 0.12, 0.12, 0.12, 0.12, 0.12, 0.12, 0.12, 0.12, 0.12, 0.12, 0.12, 0.12, 1.0]",ADDM_Joint,0.5,0.5,0.05,0.03,3.0,2.0,False,"[10, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 10]",,ModelStateDict1727213668.3213663.pt,10,1516,3201807,36:26.0,x86_64,12.071944236755373,817.2134399999995,3079168.0,800.0,200.0,2.1317503452301025,0.034964403,0.049507119,0.0,0.002664688,2.1342461109161377,0.032114537,0.047577093,0.0,0.010671231,0.0,,,,,,,,,,,60.555083990097046,266325.0,268435.0,262339.0,1703.0,1850.0,"1516/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/10","529/9, 54/9, 58/9, 51/9, 57/9, 46/9, 48/9, 50/9, 53/9, 48/9, 53/9, 46/9, 50/9, 42/9, 44/9, 51/9, 48/9, 38/9, 44/9, 54/9, 56/9, 52/9, 54/9, 46/9, 47/9, 53/9, 42/9, 52/9, 47/8",38384.0,0.0
9,v0.96 - 96,1,CrossEntropy,Adam,0.000904255,1,100,MainLinear,0.000224328,27,75,ACI_grouped,3000,0.2,1000,-2,3,cuda,0.001,0.001,"[74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 10]","[0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 1.0]",TOFD,0.5,0.5,0.05,0.03,3.0,2.0,False,"[10, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 10]",,ModelStateDict1727213668.3213663.pt,10,1516,3207370,37:47.6,x86_64,16.654476404190063,641.6998399999993,25445888.0,800.0,200.0,2.0721688270568848,0.2021948998178506,0.1085610200364298,0.0,0.002590211,2.067111730575561,0.2092753623188405,0.1101449275362318,0.0,0.010335559,0.0,,,,,,,,,,,0.2085878849029541,532650.0,268435.0,0.0,0.0,0.0,"1516/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/10","1516/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/75, 75/10",25795.0,0.0
10,v0.96 - 96,1,CrossEntropy,Adam,0.000904255,1,100,MainLinear,0.000224328,27,75,ACI_grouped,3000,0.2,1000,-2,3,cuda,0.001,0.001,"[65, 65, 65, 65, 65, 65, 65, 65, 65, 65, 65, 65, 65, 65, 65, 65, 65, 65, 65, 65, 65, 65, 65, 65, 65, 65, 65, 65, 10]","[0.87, 0.87, 0.87, 0.87, 0.87, 0.87, 0.87, 0.87, 0.87, 0.87, 0.87, 0.87, 0.87, 0.87, 0.87, 0.87, 0.87, 0.87, 0.87, 0.87, 0.87, 0.87, 0.87, 0.87, 0.87, 0.87, 0.87, 0.87, 1.0]",TOFD,0.5,0.5,0.05,0.03,3.0,2.0,False,"[10, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 10]",,ModelStateDict1727213668.3213663.pt,10,1516,3207370,38:05.4,x86_64,15.565544605255129,236.90035200000057,7453184.0,800.0,200.0,2.024252176,0.2021948998178506,0.1085610200364298,0.0,0.002530315,2.01133132,0.2092753623188405,0.1101449275362318,0.0,0.010056657,0.0,,,,,,,,,,,0.2143998146057129,436656.0,220186.0,0.0,0.0,0.0,"1516/66, 66/66, 66/66, 66/66, 66/66, 66/66, 66/66, 66/66, 66/66, 66/66, 66/66, 66/66, 66/66, 66/66, 66/66, 66/66, 66/66, 66/66, 66/66, 66/66, 66/66, 66/66, 66/66, 66/66, 66/66, 66/66, 66/66, 66/66, 66/10","1516/66, 66/66, 66/66, 66/66, 66/66, 66/66, 66/66, 66/66, 66/66, 66/66, 66/66, 66/66, 66/66, 66/66, 66/66, 66/66, 66/66, 66/66, 66/66, 66/66, 66/66, 66/66, 66/66, 66/66, 66/66, 66/66, 66/66, 66/66, 66/10",49732.0,0.0
11,v0.96 - 96,1,CrossEntropy,Adam,0.000904255,1,100,MainLinear,0.000224328,27,75,ACI_grouped,3000,0.2,1000,-2,3,cuda,0.001,0.001,"[55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 10]","[0.74, 0.74, 0.74, 0.74, 0.74, 0.74, 0.74, 0.74, 0.74, 0.74, 0.74, 0.74, 0.74, 0.74, 0.74, 0.74, 0.74, 0.74, 0.74, 0.74, 0.74, 0.74, 0.74, 0.74, 0.74, 0.74, 0.74, 0.74, 1.0]",TOFD,0.5,0.5,0.05,0.03,3.0,2.0,False,"[10, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 10]",,ModelStateDict1727213668.3213663.pt,10,1516,3207370,38:42.5,x86_64,34.89934992790222,26.15295999999944,5243904.0,800.0,200.0,2.0901131629943848,0.1860147601476015,0.1047970479704797,0.0,0.002612641,2.081027746200561,0.2092753623188405,0.1101449275362318,0.0,0.010405139,0.0,,,,,,,,,,,0.222942829,340256.0,171706.0,0.0,0.0,0.0,"1516/56, 56/56, 56/56, 56/56, 56/56, 56/56, 56/56, 56/56, 56/56, 56/56, 56/56, 56/56, 56/56, 56/56, 56/56, 56/56, 56/56, 56/56, 56/56, 56/56, 56/56, 56/56, 56/56, 56/56, 56/56, 56/56, 56/56, 56/56, 56/10","1516/56, 56/56, 56/56, 56/56, 56/56, 56/56, 56/56, 56/56, 56/56, 56/56, 56/56, 56/56, 56/56, 56/56, 56/56, 56/56, 56/56, 56/56, 56/56, 56/56, 56/56, 56/56, 56/56, 56/56, 56/56, 56/56, 56/56, 56/56, 56/10",45290.0,0.0
12,v0.96 - 96,1,CrossEntropy,Adam,0.000904255,1,100,MainLinear,0.000224328,27,75,ACI_grouped,3000,0.2,1000,-2,3,cuda,0.001,0.001,"[46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 10]","[0.62, 0.62, 0.62, 0.62, 0.62, 0.62, 0.62, 0.62, 0.62, 0.62, 0.62, 0.62, 0.62, 0.62, 0.62, 0.62, 0.62, 0.62, 0.62, 0.62, 0.62, 0.62, 0.62, 0.62, 0.62, 0.62, 0.62, 0.62, 1.0]",TOFD,0.5,0.5,0.05,0.03,3.0,2.0,False,"[10, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 10]",,ModelStateDict1727213668.3213663.pt,10,1516,3207370,39:00.8,x86_64,16.09670138,243.8430719999997,5475840.0,800.0,200.0,2.103761672973633,0.2021948998178506,0.1085610200364298,0.0,0.002629702,2.0940988063812256,0.2092753623188405,0.1101449275362318,0.0,0.010470494,0.0,,,,,,,,,,,0.2229039669036865,262730.0,132691.0,0.0,0.0,0.0,"1516/47, 47/47, 47/47, 47/47, 47/47, 47/47, 47/47, 47/47, 47/47, 47/47, 47/47, 47/47, 47/47, 47/47, 47/47, 47/47, 47/47, 47/47, 47/47, 47/47, 47/47, 47/47, 47/47, 47/47, 47/47, 47/47, 47/47, 47/47, 47/10","1516/47, 47/47, 47/47, 47/47, 47/47, 47/47, 47/47, 47/47, 47/47, 47/47, 47/47, 47/47, 47/47, 47/47, 47/47, 47/47, 47/47, 47/47, 47/47, 47/47, 47/47, 47/47, 47/47, 47/47, 47/47, 47/47, 47/47, 47/47, 47/10",56865.0,0.0
13,v0.96 - 96,1,CrossEntropy,Adam,0.000904255,1,100,MainLinear,0.000224328,27,75,ACI_grouped,3000,0.2,1000,-2,3,cuda,0.001,0.001,"[36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 10]","[0.49, 0.49, 0.49, 0.49, 0.49, 0.49, 0.49, 0.49, 0.49, 0.49, 0.49, 0.49, 0.49, 0.49, 0.49, 0.49, 0.49, 0.49, 0.49, 0.49, 0.49, 0.49, 0.49, 0.49, 0.49, 0.49, 0.49, 0.49, 1.0]",TOFD,0.5,0.5,0.05,0.03,3.0,2.0,False,"[10, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 10]",,ModelStateDict1727213668.3213663.pt,10,1516,3207370,39:18.9,x86_64,15.868188858032228,259.58400000000074,4480512.0,800.0,200.0,2.112170457839966,0.2021948998178506,0.1085610200364298,0.0,0.002640213,2.104421854019165,0.2092753623188405,0.1101449275362318,0.0,0.010522109,0.0,,,,,,,,,,,0.2222571372985839,186850.0,94471.0,0.0,0.0,0.0,"1516/37, 37/37, 37/37, 37/37, 37/37, 37/37, 37/37, 37/37, 37/37, 37/37, 37/37, 37/37, 37/37, 37/37, 37/37, 37/37, 37/37, 37/37, 37/37, 37/37, 37/37, 37/37, 37/37, 37/37, 37/37, 37/37, 37/37, 37/37, 37/10","1516/37, 37/37, 37/37, 37/37, 37/37, 37/37, 37/37, 37/37, 37/37, 37/37, 37/37, 37/37, 37/37, 37/37, 37/37, 37/37, 37/37, 37/37, 37/37, 37/37, 37/37, 37/37, 37/37, 37/37, 37/37, 37/37, 37/37, 37/37, 37/10",66584.0,0.0
